date,R_mv,R_vw,R_mv_cf50,R_vw_cf50,R_vw_nz
2014-01-31,0.024784616049923262,-0.03371060747190949,0.03576228342800245,-0.035798184527948224,-0.03575512134220278
2014-02-28,0.06521347195055444,0.07080640004807198,0.06622230020404993,0.06874373098426205,0.06986066523616279
2014-03-31,-0.01087965267956801,-0.007082020545053373,-0.0012693317747358363,-0.007187145148099405,-0.006299749678048787
2014-04-30,0.03284601110993844,0.01997779289783635,0.03543187930332803,0.02275975576319593,0.023052675073195843
2014-05-30,0.017294861693342347,0.012618822232354044,0.010978910638416594,0.012343179804411943,0.012390369759009133
2014-06-30,0.028151088834863277,-0.004275379664926747,0.016136608991622583,-0.003855016674335494,-0.003334434649696686
2014-07-31,-0.02828177526043047,-0.03905123700213322,-0.03197432292961323,-0.038973229494505296,-0.038764865036943735
2014-08-29,0.0021090674874952343,0.005439829678566057,0.00848731815086019,0.005791727562107015,0.005284841742483244
2014-09-30,-0.03901709261226995,-0.03355874169441673,-0.034132796743836284,-0.03595619457724475,-0.03533955091426147
2014-10-31,0.03885207988779763,-0.020287483727564337,0.04134755865836827,-0.021455877433713227,-0.021895443872003872
2014-11-28,0.020788636145506717,0.027462999021555197,0.020220295047400215,0.026738189214215564,0.026592666684416483
2014-12-31,-0.013732783254702188,-0.040310839057569096,-0.018306337125339273,-0.039852438461543335,-0.04024229670613989
2015-01-30,-0.03781243378033827,-0.001677234452874047,-0.038432440361148006,-0.0035746112783510806,-0.0038296333325663623
2015-02-27,0.042850294881658854,0.06096907823007783,0.03757920531165297,0.06413467665413011,0.06292058586063273
2015-03-31,-0.02148453865747791,-0.021102769854362248,-0.015260610754117915,-0.02037435952699424,-0.021080092674190608
2015-04-30,0.040808776080283014,0.03746874184905677,0.04125898103502909,0.04019627967482484,0.04033388994721557
2015-05-29,-0.0015623226083748428,-0.004580993933987462,0.006153375732128941,-0.0051128958369311105,-0.005245938174162074
2015-06-30,-0.008901165641833207,-0.02685198099955905,-0.00023539338553251257,-0.026999239121359514,-0.02739509666401666
2015-07-31,0.0748258394738123,0.03207089931117423,0.07807477487342208,0.03091916887175303,0.030489607799217184
2015-08-31,-0.04662239395072438,-0.06773674738719315,-0.038901504467403675,-0.06774125407210836,-0.06836682450908824
2015-09-30,-0.05446383131538842,-0.04487606817225555,-0.04858967252278213,-0.04563293300865587,-0.046555880463334864
2015-10-30,0.040615279656296535,0.0725992486704721,0.03986202751404898,0.07194302813051504,0.0721889099940709
2015-11-30,0.009515163968264843,-0.016973889276470106,0.009209877709264175,-0.018562474206751195,-0.018917449664348506
2015-12-31,0.000988277700060488,-0.02620565568271167,0.009282793075521895,-0.029687850770072424,-0.02960442148540708
2016-01-29,-0.0522591996098417,-0.06538827174475827,-0.04960461802437428,-0.06735007151379398,-0.06693709299164745
2016-02-29,-0.03161679115366328,-0.021641966919848037,-0.025267156139961576,-0.017911062742164197,-0.01850310471367448
2016-03-31,0.05279055475554035,0.0645499190848506,0.04848513285280445,0.06584706278483657,0.06623285472743805
2016-04-29,0.018008020608815296,0.024964709363099566,0.003687784809928851,0.027224618729855925,0.027388441541672453
2016-05-31,0.0051890557848799975,-0.0018497764915687592,0.013342059180027375,-0.005105882223255432,-0.005002484664936062
2016-06-30,-0.028898233268692123,-0.048103152867699644,-0.029732695770578958,-0.04565744132285483,-0.0454286551258514
2016-07-29,0.03667970133235082,0.04050205811853813,0.028321770027048835,0.04012117542364739,0.04021732879365591
2016-08-31,-0.047554450153595794,0.00534235314885023,-0.03783950696141587,0.005082323091493858,0.004969002151632294
2016-09-30,0.024024552515938654,0.0073648460570591235,0.0158042280825251,0.007586289181867758,0.007051247986982198
2016-10-31,-0.02435314754003442,-0.03042954325224259,-0.033159085461984074,-0.029818629048419074,-0.02915713970873105
2016-11-30,0.005189564048795046,-0.0229039053126704,-0.0044193439990984,-0.02037895201055849,-0.021362679271442683
2016-12-30,0.001886675922144818,0.050160310591360203,0.008437631934417995,0.051809176035069425,0.051918072452578026
2017-01-31,-0.02190071183670767,0.01855850317651143,-0.02114657336742306,0.016289318362400683,0.015818764059429828
2017-02-28,0.022375488697594637,0.011610859513449489,0.02456524284594322,0.014834338120922734,0.015012644381166463
2017-03-31,-0.021907461485559374,0.04151168766873424,-0.019182990807740455,0.040441928677501036,0.04032420039387176
2017-04-28,0.04557792225419155,0.039207306495864694,0.04300102114825642,0.04013495165894575,0.039449905668627314
2017-05-31,0.017725060668503496,0.0507688066704442,0.02390080929240425,0.051130903751906445,0.051969655019475
2017-06-30,0.011766434448234312,-0.009430406988061182,0.01117257522594355,-0.010662479668749985,-0.010782780407998295
