Country,avg_active_pct
DE,-0.37765080422341274
IE,-0.0738570863821913
CH,-0.07232689695303954
DK,-0.06945577905352027
PT,-0.06266282932132904
BE,-0.058812655512466686
AT,-0.05400595899535285
FI,-0.04003078317998112
NO,-0.020090193500669724
IT,-0.01882233422033367
ES,0.04846346327319646
IL,0.05064943426436335
NL,0.09820397320579072
FR,0.12350944810928723
SE,0.1735577252662051
GB,0.3533312772234623
