portfolio,ann_return,ann_vol,sharpe,min,max
P_oos_mv,0.03783078922681926,0.13765508508084104,0.2748230419864423,-0.12004352262057856,0.14240277083447028
P_oos_vw,0.07162031922100542,0.1580881595373778,0.45304037589274215,-0.15296258250294462,0.18284072950865887
P_oos_mv_cf50,0.03985067009044174,0.13555378410257254,0.29398419493982575,-0.1142278090435641,0.1350976705214325
P_oos_vw_cf50,0.07140802534846147,0.15759402395870017,0.4531137891826088,-0.1536692561696228,0.18096057148086245
P_oos_vw_nz,0.07195374893546891,0.15787757814216596,0.45575660446650523,-0.15249683857879495,0.1816451681162763
