year,WACI_mv,CF_mv,WACI_vw,CF_vw,WACI_mv_cf50,CF_mv_cf50,WACI_vw_cf50,CF_vw_cf50,WACI_vw_nz,CF_vw_nz
2013,61.69990299981921,27.18503421743322,136.0706169774643,214.2215500979177,26.62707579387163,13.592517108795507,83.77076378042902,107.11077504908216,125.77633557959774,192.7993950878857
2014,243.7026116247866,1583.4792641760585,127.1209948195855,185.44658843571528,136.00573875600685,791.7396320855626,77.55501940216678,92.72329421882066,122.7929169626953,173.51945557900063
2015,173.48359319600175,423.89788069129304,155.23926452918016,193.39710981788662,100.99118513571008,211.9489403464861,94.63745225164175,96.69855490957298,135.29146270404897,156.16751001962365
2016,184.94453397002297,1044.9098158874283,150.23895164683773,205.33912894888715,113.37860900314823,522.4549079401271,93.03498874597538,102.66956447417287,121.5173805093618,140.55075901917104
2017,250.6562393306864,366.5365429725951,171.56827024254937,185.36081995395725,141.74383894525286,183.26827148337546,104.30376565416904,92.6804099758019,136.48265766827788,126.49568311793897
2018,132.7042641278769,180.46098105895695,134.93352929145448,143.75358384424433,77.71788963305261,90.2304905299472,78.02085686509533,71.87679192138408,117.93784671820305,113.84611480585382
2019,76.2498472045157,35.88952713832386,139.05335806223496,153.2811157168512,38.83807262453435,17.944763569080855,80.48761017015818,76.64055785820878,102.09917664255372,102.46150332490478
2020,145.07488407989428,55.594115587094294,131.99993794190362,124.96237177772518,78.45217767127973,27.79705779367398,68.82945931859601,62.481185889037604,106.20076586066295,92.21535299255748
2021,121.7810309150129,37.95451458770003,133.8250006888505,117.49557478969076,50.22880016323234,18.97725729373901,77.19335431360108,58.747787394945185,104.20679643672366,82.99381769258308
2022,46.107299517636754,43.54472207733557,106.60384019740067,98.65657433503368,28.113974892597422,21.772361040007475,64.54413447493755,49.32828716735693,89.89123989152344,74.69443592369751
2023,41.13416544843287,120.62450974457703,79.7085528832736,96.10358574964559,37.249987708240525,60.31225487200255,50.6318641701844,48.05179287482707,65.7973965984297,67.2249923318088
2024,37.66845106502183,63.88947935250974,83.27359634221332,89.50391851000084,22.61028068334142,31.944739676536486,54.122439130840895,44.75195925509006,68.54377426181468,60.502493098272296
