scenario,arith,geom,vol,sharpe_geom
"Baseline (stale 50%, min 36, sample cov)",0.08011595881047107,0.06954375496340925,0.15946701330432517,0.43610119436232675
Stale threshold 40%,0.08011595881047107,0.06954375496340925,0.15946701330432517,0.43610119436232675
Stale threshold 60%,0.08011595881047107,0.06954375496340925,0.15946701330432517,0.43610119436232675
Min history 24 months,0.08012882595595427,0.06955884577361648,0.15945959276219412,0.43621612578273194
Min history 48 months,0.08026713492116808,0.06970882802891154,0.1594428064110669,0.43720271612124023
Ledoit-Wolf shrinkage covariance,0.08032322798945558,0.0697853957047716,0.1593577812738142,0.437916461605749
