ISIN,NAME,Country,w_vw_pct,w_constr_pct,active_pct,carbon_intensity,cf_coeff,side
GB0031743007,BURBERRY GROUP,GB,0.04852288347401363,0.10010175863182438,0.05157887515781076,4.7666489817081255,3.2601188246734725,overweight
GB00B132NW22,ASHMORE GROUP,GB,0.015749091015231736,0.061996998097767396,0.04624790708253566,1.2147780389257137,0.14610054470094383,overweight
GB00B1FW5029,HOCHSCHILD MINING,GB,0.005629576197180437,0.05119655807685853,0.045566981879678094,186.0804105678502,190.93695854991338,overweight
GB0006449366,ECORA ROYALTIES,GB,0.0024411753847473983,0.04797642246875604,0.04553524708400864,0.0,0.0,overweight
DE000ENAG999,E ON N,DE,0.29210803529459745,0.33455089837214164,0.0424428630775442,55.72863270352996,160.96588664805094,overweight
SE0000106270,HENNES & MAURITZ B,SE,0.16348205241888,0.205875015520583,0.042392963101702964,16.87192146128223,19.367671371471523,overweight
DE0006231004,INFINEON TECHNOLOGIES,DE,0.3969305990261569,0.43457780624234976,0.03764720721619284,70.68828918976638,25.757440510258025,overweight
BE0003810273,PROXIMUS,BE,0.02635664082755635,0.06386795114925699,0.03751131032170063,9.302955654371882,19.050194686682545,overweight
FR0000051070,MAUREL ET PROM,FR,0.009524852430939656,0.04697482415589281,0.03744997172495316,249.50819479596692,148.75668484302108,overweight
GB0004082847,STANDARD CHARTERED,GB,0.16732830839697935,0.20464410753855714,0.03731579914157779,2.353297750404561,4.51061476451216,overweight
CH0012214059,HOLCIM,CH,0.3655550510026248,0.05606127798622175,-0.3094937730164031,2403.6800533911824,1710.4355726811966,underweight
DE0007037129,RWE,DE,0.22501647905931207,0.0028133010005379874,-0.2222031780587741,1738.092252891379,1987.15704080128,underweight
FR0000124141,VEOLIA ENVIRON,FR,0.19611895498005397,0.04037697096378409,-0.15574198401626987,430.12320686570695,895.7450833278426,underweight
DE0006047004,HEIDELBERG MATERIALS,DE,0.14396640502488703,8.160128044226533e-17,-0.14396640502488692,2964.961524564595,3927.886255177681,underweight
DK0010244508,A P MOLLER MAERSK B,DK,0.10984372185764212,3.117401620339434e-17,-0.10984372185764209,674.4270980216309,2608.570257593467,underweight
AT0000743059,OMV,AT,0.11904402351428965,0.01654700013058475,-0.10249702338370492,253.6834732904658,757.3540307772466,underweight
IE0001827041,CRH PUBLIC LIMITED,IE,0.42194935369243924,0.3216421879609766,-0.10030716573146263,842.4433746241385,580.8784304427717,underweight
ES0173516115,REPSOL YPF,ES,0.14828377233756762,0.04974357374321429,-0.09854019859435333,243.98341261341963,787.1049716923319,underweight
IE00BYTBXV33,RYANAIR HOLDINGS,IE,0.20325065186852526,0.1097177829749598,-0.09353286889356546,1084.9968770083115,630.7894585726004,underweight
NO0005052605,NORSK HYDRO,NO,0.09794063671716456,0.008571124167621338,-0.08936951254954323,492.20973944948696,764.3841260059141,underweight
