rank,ISIN,NAME,weight_vw_pct,carbon_intensity,contribution_waci_vw
1,CH0012214059,HOLCIM,0.3202232333087992,4279.055077348216,13.702528523748798
2,GB0007188757,RIO TINTO,1.0142927965788233,754.240558754109,7.650207656318795
3,DE0007037129,RWE,0.27116180883586943,2405.925369949495,6.523950752396133
4,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.5091995105626489,1036.677004535587,5.278754233210738
5,FI0009007132,FORTUM,0.21133551790302055,2491.2482440178055,5.264892378744935
6,IT0003128367,ENEL,0.5010844535677447,1027.1072583876644,5.146674793246471
7,DE0006047004,HEIDELBERG MATERIALS,0.15080552253691173,3082.970923678399,4.649290411114263
8,ES0130670112,ENDESA,0.31024854553989434,1260.6917125052132,3.9112777017894103
9,FR0010242511,EDF DEAD - DELIST.08/06/23,0.4462713123236709,806.716712864882,3.600145261236489
10,GB00B1VNSX38,DRAX GROUP,0.046870908698311224,7355.992869900668,3.4478207019054254
