rebal_year,n_investable,largest_weight_mv,largest_weight_mv_cf50,largest_weight_vw_cf50,largest_weight_vw_nz,cf_limit_mv_cf50,cf_limit_vw_cf50,cf_limit_vw_nz
2013,469,0.2175680611680297,0.18652279385689835,0.03064746773528605,0.030682773251408016,13.59251710871661,107.11077504895886,192.79939508812595
2014,487,0.220341202663742,0.20848227835670397,0.02739675781852852,0.02757417849495294,791.7396320880292,92.72329421785764,173.51945557931336
2015,505,0.1645881368809585,0.1689259670720222,0.027659386740754865,0.027704541661675592,211.94894034564652,96.69855490894331,156.16751002138204
2016,512,0.14752618381378113,0.14558013526003424,0.02951551056808696,0.0294915042260825,522.4549079437141,102.66956447444358,140.55075901924383
2017,525,0.14948676626918211,0.1406638724520878,0.029684927529080505,0.029609985399896142,183.26827148629755,92.68040997697862,126.49568311731944
2018,546,0.10098015917027663,0.1070534063714237,0.026805224334277598,0.02668001907702199,90.23049052947847,71.87679192212217,113.8461148055875
2019,572,0.10573104666294067,0.11491190719311906,0.030631655448924756,0.030454900501631108,17.94476356916193,76.6405578584256,102.46150332502876
2020,591,0.16530691638718037,0.1891419084840797,0.03260815627103067,0.032423974781837075,27.797057793547147,62.48118588886259,92.21535299252588
2021,600,0.11495208005676792,0.13904664192155447,0.030520181472473845,0.030395619468600168,18.977257293850016,58.74778739484538,82.9938176932733
2022,590,0.14464562800301145,0.14267161427341765,0.030878648919348183,0.030766588750295705,21.772361038667785,49.32828716751684,74.69443592394597
2023,575,0.15247241456466556,0.15098517251536556,0.03120844283260689,0.03116109371584233,60.31225487228851,48.051792874822794,67.22499233155136
2024,563,0.1308069475464244,0.13949764052667724,0.03425788514187097,0.034047750178703734,31.94473967625487,44.75195925500042,60.50249309839624
