ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BE0003739530,,1868647.0,1790702.0,2057301.0,2131546.0,2698818.0,3690180.0,3998808.0,2469501.0,2838865.0,4725556.0,3876157.0,3743352.0,3847141.0,3788296.0,4741602.0,4610987.0,3793150.0,4225026.0,4515151.0,5634227.0,5312049.0,5432583.0,6431647.0,6526087.0,6035988.0,5673496.0,6345398.0
BE0003755692,,4952661.0,4599117.0,4909300.0,4228935.0,5027254.0,5244046.0,4903256.0,3998585.0,4412696.0,4866374.0,3882560.0,3843808.0,4070844.0,3981926.0,4233476.0,3872905.0,2971906.0,2884267.0,2741727.0,3038503.0,2576894.0,2475789.0,2055673.0,1988214.0,2031689.0,1242292.0,1173775.0
BE0003797140,,1144730.0,1570271.0,471890.0,632231.0,323878.0,315887.0,434151.0,340146.0,499137.0,1071996.0,674454.0,746299.0,614493.0,4653176.0,7023516.0,5986038.0,5322887.0,6099909.0,6199308.0,6653985.0,6475493.0,6176536.0,7626559.0,8234369.0,9367104.0,7190173.0,6435236.0
BE0003810273,,4764548.0,4476364.0,4797854.0,4628497.0,5604226.0,6689736.0,7057716.0,6507974.0,7813365.0,8874499.0,7569199.0,8262442.0,9047547.0,8378772.0,8843595.0,8433876.0,6761653.0,6479246.0,6299381.0,7137932.0,6610244.0,6234257.0,6547120.0,6254966.0,6403595.0,6473964.0,6576440.0
BE0003822393,,,,,,718065.0,862310.0,876966.0,839243.0,902909.0,1046055.0,927614.0,1023667.0,1297340.0,1565109.0,1681886.0,1788430.0,891005.0,850346.0,864665.0,1030454.0,2090415.0,2479438.0,2657820.0,2882119.0,3956159.0,4150985.0,3885422.0
BE0974256852,,2147505.0,1985997.0,2105580.0,2311000.0,3287665.0,4251986.0,5581663.0,5483670.0,6480604.0,7968076.0,7751802.0,9110870.0,9653479.0,9951521.0,11074696.0,11486374.0,10000689.0,9861665.0,10035889.0,11561484.0,10513659.0,10571809.0,11847365.0,11208443.0,11306673.0,11286713.0,11129408.0
BE0974258874,,2005756.0,1715507.0,1639190.0,1546484.0,2000453.0,2235702.0,2832428.0,2313883.0,2607379.0,3221913.0,3409247.0,3400588.0,4505126.0,4399425.0,4739718.0,4306330.0,3647633.0,4001655.0,4015023.0,5097231.0,4937349.0,4779578.0,4537605.0,5467203.0,6183457.0,4675224.0,4082234.0
BE0974264930,,39997907.0,38728922.0,47194796.0,41577642.0,53685989.0,61571197.0,78215400.0,107287053.0,123343997.0,176286359.0,15221633.0,21112340.0,18357600.0,18190538.0,19509324.0,18370953.0,15654116.0,14279412.0,13882953.0,15103834.0,12857291.0,15526483.0,14088999.0,14683412.0,10341155.0,8347125.0,9108617.0
BE0974271034,,,,,,,,,,,,,,,,4542684.0,3900037.0,3338814.0,3569619.0,3363835.0,4628413.0,5053081.0,4642181.0,4631071.0,6071409.0,7642887.0,6807716.0,6835646.0
BE0974293251,,3082814.0,3153375.0,5279457.0,6288722.0,7505993.0,8763715.0,11167223.0,14089330.0,17266732.0,21389514.0,20619057.0,36767886.0,37970362.0,36798410.0,42188627.0,43904172.0,40430046.0,43093963.0,44567186.0,61628160.0,53161419.0,51767263.0,49153108.0,51996393.0,60047588.0,59294178.0,57142983.0
