date,R_mv,R_vw
2014-01-31,0.024784616049923262,-0.03371060747190949
2014-02-28,0.06521347195055444,0.07080640004807198
2014-03-31,-0.01087965267956801,-0.007082020545053373
2014-04-30,0.03284601110993844,0.01997779289783635
2014-05-30,0.017294861693342347,0.012618822232354044
2014-06-30,0.028151088834863277,-0.004275379664926747
2014-07-31,-0.02828177526043047,-0.03905123700213322
2014-08-29,0.0021090674874952343,0.005439829678566057
2014-09-30,-0.03901709261226995,-0.03355874169441673
2014-10-31,0.03885207988779763,-0.020287483727564337
2014-11-28,0.020788636145506717,0.027462999021555197
2014-12-31,-0.013732783254702188,-0.040310839057569096
2015-01-30,-0.03781243378033827,-0.001677234452874047
2015-02-27,0.042850294881658854,0.06096907823007783
2015-03-31,-0.02148453865747791,-0.021102769854362248
2015-04-30,0.040808776080283014,0.03746874184905677
2015-05-29,-0.0015623226083748428,-0.004580993933987462
2015-06-30,-0.008901165641833207,-0.02685198099955905
2015-07-31,0.0748258394738123,0.03207089931117423
2015-08-31,-0.04662239395072438,-0.06773674738719315
2015-09-30,-0.05446383131538842,-0.04487606817225555
2015-10-30,0.040615279656296535,0.0725992486704721
2015-11-30,0.009515163968264843,-0.016973889276470106
2015-12-31,0.000988277700060488,-0.02620565568271167
2016-01-29,-0.0522591996098417,-0.06538827174475827
2016-02-29,-0.03161679115366328,-0.021641966919848037
2016-03-31,0.05279055475554035,0.0645499190848506
2016-04-29,0.018008020608815296,0.024964709363099566
2016-05-31,0.0051890557848799975,-0.0018497764915687592
2016-06-30,-0.028898233268692123,-0.048103152867699644
2016-07-29,0.03667970133235082,0.04050205811853813
2016-08-31,-0.047554450153595794,0.00534235314885023
2016-09-30,0.024024552515938654,0.0073648460570591235
2016-10-31,-0.02435314754003442,-0.03042954325224259
2016-11-30,0.005189564048795046,-0.0229039053126704
2016-12-30,0.001886675922144818,0.050160310591360203
2017-01-31,-0.02190071183670767,0.01855850317651143
2017-02-28,0.022375488697594637,0.011610859513449489
2017-03-31,-0.021907461485559374,0.04151168766873424
2017-04-28,0.04557792225419155,0.039207306495864694
2017-05-31,0.017725060668503496,0.0507688066704442
2017-06-30,0.011766434448234312,-0.009430406988061182
2017-07-31,0.01670263870777304,0.027456244660843062
2017-08-31,-0.08295423339584734,-0.0014093444593438892
2017-09-29,0.02708926861554245,0.03521785849825859
2017-10-31,-0.01887743546620815,0.007626111131130072
2017-11-30,-0.013681181077770355,0.0036277663889264025
2017-12-29,0.030568072845142492,0.010865430064301733
2018-01-31,0.03993175862402396,0.05576510165176524
2018-02-28,-0.023627270068328744,-0.058187166592162866
