rebal_year,n_investable,largest_weight_mv
2013,469,0.2175680611680297
2014,487,0.220341202663742
2015,505,0.1645881368809585
2016,512,0.14752618381378113
2017,525,0.14948676626918211
2018,546,0.10098015917027663
2019,572,0.10573104666294067
2020,591,0.16530691638718037
2021,600,0.11495208005676792
2022,590,0.14464562800301145
2023,575,0.15247241456466556
2024,563,0.1308069475464244
